id,title,release_date,genre_ids,vote_average,vote_count,budget,revenue,directors,production_companies
447273,Snow White,2025-03-19,"[10751, 14]",4.6,290,270000000,87000000,Marc Webb,"Walt Disney Pictures, Marc Platt Productions"
762509,Mufasa: The Lion King,2024-12-18,"[12, 10751, 16]",7.479,1702,200000000,717197856,Barry Jenkins,Walt Disney Pictures
1241982,Moana 2,2024-11-21,"[16, 12, 10751, 35]",7.121,2049,150000000,1056396565,"David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","Walt Disney Pictures, Walt Disney Animation Studios, Walt Disney Animation Studios"
1022789,Inside Out 2,2024-06-11,"[16, 12, 35, 10751]",7.6,5683,200000000,1698863816,Kelsey Mann,"Walt Disney Pictures, Pixar"
774531,Young Woman and the Sea,2024-05-31,"[36, 18]",7.879,340,40000000,581725,Joachim Rønning,"Walt Disney Pictures, Jerry Bruckheimer Films"
1123093,Diary of a Wimpy Kid Christmas: Cabin Fever,2023-12-07,"[16, 35, 10751]",6.6,73,0,0,Luke Cormican,"Walt Disney Pictures, Bardel Entertainment"
1001884,Dashing Through the Snow,2023-11-16,"[14, 10751, 35]",6.219,112,0,0,Tim Story,"Will Packer Productions, Smart Entertainment, Walt Disney Pictures"
1022796,Wish,2023-11-13,"[16, 10751, 14, 12]",6.3,1571,175000000,254997360,"Fawn Veerasunthorn, Chris Buck","Walt Disney Pictures, Walt Disney Animation Studios"
1165492,Project CC,2023-09-29,[18],5.8,5,0,0,Cashmere Jasmine,Walt Disney Pictures
1165491,Black Belts,2023-09-29,[18],7.2,8,0,0,Spencer Glover,Walt Disney Pictures
1164598,The Ghost,2023-09-29,"[18, 14]",7.6,9,0,0,Erica Eng,Walt Disney Pictures
1139087,Once Upon a Studio,2023-09-24,"[16, 10751, 14, 35]",8.288,371,0,0,"Dan Abraham, Trent Correy","Walt Disney Animation Studios, Walt Disney Pictures"
1184348,Haunted Mansion: Enter If You Dare,2023-07-26,"[16, 9648]",0.0,0,0,0,,Walt Disney Pictures
1184346,Haunted Mansion: Swinging Wake,2023-07-26,"[16, 9648]",0.0,0,0,0,,Walt Disney Pictures
616747,Haunted Mansion,2023-07-26,"[35, 18, 14, 27]",6.467,1087,157800000,117449790,Justin Simien,"Walt Disney Pictures, Rideback"
1143516,Maxine,2023-07-23,[18],5.9,8,0,0,Niki Ang,Walt Disney Pictures
1135111,The Roof,2023-07-23,[18],6.1,9,0,0,Alexander Bocchieri,Walt Disney Pictures
1143429,"Beautiful, FL",2023-07-17,[18],5.8,9,0,0,Gabriela Ortega,Walt Disney Pictures
929569,World's Best,2023-06-23,"[10402, 10751, 35]",6.2,19,0,0,Roshan Sethi,Walt Disney Pictures
976573,Elemental,2023-06-14,"[16, 35, 10751, 14, 10749]",7.618,4726,200000000,496444308,Peter Sohn,"Walt Disney Pictures, Pixar"
447277,The Little Mermaid,2023-05-18,"[12, 10751, 14, 10749]",6.312,3026,297000000,569626289,Rob Marshall,"Walt Disney Pictures, Lucamar Productions, Marc Platt Productions"
620705,Crater,2023-05-12,"[878, 28, 12, 10751]",6.6,269,0,0,Kyle Patrick Alvarez,"Walt Disney Pictures, 21 Laps Entertainment"
420808,Peter Pan & Wendy,2023-04-20,"[10751, 14, 28, 12]",5.469,695,0,0,David Lowery,"Walt Disney Pictures, Whitaker Entertainment"
776098,Chang Can Dunk,2023-03-09,"[10751, 35, 18]",6.98,74,0,0,Jingyi Shao,"Hillman Grad Productions, Makeready, Walt Disney Pictures, Rotten Eggs Productions"
751741,Night at the Museum: Kahmunrah Rises Again,2022-12-08,"[16, 35, 10751, 14]",6.427,261,0,0,Matt Danner,"21 Laps Entertainment, 1492 Pictures, Walt Disney Pictures"
897192,Diary of a Wimpy Kid: Rodrick Rules,2022-12-02,"[16, 35, 10751]",6.9,165,0,0,Luke Cormican,"Walt Disney Pictures, Bardel Entertainment"
877269,Strange World,2022-11-23,"[16, 10751, 12, 878, 14]",6.3,1289,180000000,73621640,Don Hall,"Walt Disney Pictures, Walt Disney Animation Studios"
338958,Disenchanted,2022-11-18,"[35, 10751, 14]",6.7,1100,0,0,Adam Shankman,"Walt Disney Pictures, Josephson Entertainment, Right Coast"
