id,title,release_date,genre_ids,vote_average,vote_count
447273,Snow White,2025-03-19,"[10751, 14]",4.6,290
762509,Mufasa: The Lion King,2024-12-18,"[12, 10751, 16]",7.479,1702
1241982,Moana 2,2024-11-21,"[16, 12, 10751, 35]",7.121,2049
1022789,Inside Out 2,2024-06-11,"[16, 12, 35, 10751]",7.6,5683
774531,Young Woman and the Sea,2024-05-31,"[36, 18]",7.879,340
1123093,Diary of a Wimpy Kid Christmas: Cabin Fever,2023-12-07,"[16, 35, 10751]",6.6,73
1001884,Dashing Through the Snow,2023-11-16,"[14, 10751, 35]",6.219,112
1022796,Wish,2023-11-13,"[16, 10751, 14, 12]",6.3,1571
1165492,Project CC,2023-09-29,[18],5.8,5
1165491,Black Belts,2023-09-29,[18],7.2,8
1164598,The Ghost,2023-09-29,"[18, 14]",7.6,9
1139087,Once Upon a Studio,2023-09-24,"[16, 10751, 14, 35]",8.288,371
1184348,Haunted Mansion: Enter If You Dare,2023-07-26,"[16, 9648]",0.0,0
1184346,Haunted Mansion: Swinging Wake,2023-07-26,"[16, 9648]",0.0,0
616747,Haunted Mansion,2023-07-26,"[35, 18, 14, 27]",6.467,1087
1143516,Maxine,2023-07-23,[18],5.9,8
1135111,The Roof,2023-07-23,[18],6.1,9
1143429,"Beautiful, FL",2023-07-17,[18],5.8,9
929569,World's Best,2023-06-23,"[10402, 10751, 35]",6.2,19
976573,Elemental,2023-06-14,"[16, 35, 10751, 14, 10749]",7.618,4726
447277,The Little Mermaid,2023-05-18,"[12, 10751, 14, 10749]",6.312,3026
620705,Crater,2023-05-12,"[878, 28, 12, 10751]",6.6,269
420808,Peter Pan & Wendy,2023-04-20,"[10751, 14, 28, 12]",5.469,695
776098,Chang Can Dunk,2023-03-09,"[10751, 35, 18]",6.98,74
751741,Night at the Museum: Kahmunrah Rises Again,2022-12-08,"[16, 35, 10751, 14]",6.427,261
897192,Diary of a Wimpy Kid: Rodrick Rules,2022-12-02,"[16, 35, 10751]",6.9,165
877269,Strange World,2022-11-23,"[16, 10751, 12, 878, 14]",6.3,1289
338958,Disenchanted,2022-11-18,"[35, 10751, 14]",6.7,1100
642885,Hocus Pocus 2,2022-09-27,"[14, 35, 10751]",7.207,1706
532639,Pinocchio,2022-09-07,"[14, 12, 10751]",6.332,1621
974936,Trevor: The Musical,2022-06-24,"[18, 10402]",5.0,14
759054,Rise,2022-06-23,[18],7.6,273
718789,Lightyear,2022-06-15,"[16, 878, 10751, 12]",6.9,3506
799883,Hollywood Stargirl,2022-06-03,"[35, 10749, 10402]",6.6,60
420821,Chip 'n Dale: Rescue Rangers,2022-05-20,"[16, 10751, 35, 12, 9648]",6.996,1247
691683,Cheaper by the Dozen,2022-03-18,"[10751, 35]",6.406,254
826953,Better Nate Than Ever,2022-03-15,"[10402, 10751, 35]",6.4,99
508947,Turning Red,2022-03-10,"[16, 10751, 35, 14]",7.3,5359
774825,The Ice Age Adventures of Buck Wild,2022-01-28,"[16, 35, 10751, 12]",6.6,1715
774741,Diary of a Wimpy Kid,2021-12-02,"[16, 35, 10751]",6.2,356
831827,Far from the Tree,2021-11-24,"[16, 10751]",8.074,378
876716,Ciao Alberto,2021-11-11,"[16, 35, 10751, 14]",7.4,670
568124,Encanto,2021-10-13,"[16, 35, 10751, 14]",7.595,9651
451048,Jungle Cruise,2021-07-28,"[14, 12]",7.3,5787
508943,Luca,2021-06-17,"[16, 35, 14, 12, 10751]",7.807,8475
818370,The Little Prince(ss),2021-05-28,"[10751, 18]",7.1,137
818367,Let's Be Tigers,2021-05-28,[18],7.3,14
818361,The Last of the Chupacabras,2021-05-28,"[10751, 14]",6.2,21
818356,Growing Fangs,2021-05-28,"[18, 10749, 10751, 14]",6.6,17
818342,Dinner Is Served,2021-05-28,[18],5.8,13
818336,American Eid,2021-05-28,[18],7.1,14
337404,Cruella,2021-05-26,"[35, 80, 12]",7.996,9509
811367,22 vs. Earth,2021-04-30,"[10751, 35, 14, 16]",7.0,459
779047,Us Again,2021-03-03,"[16, 18, 10751, 10749]",7.807,331
527774,Raya and the Last Dragon,2021-03-03,"[16, 10751, 14, 28, 12]",7.8,6884
621876,Flora & Ulysses,2021-02-19,"[10751, 12, 35, 14]",6.5,249
508442,Soul,2020-12-25,"[16, 10751, 35, 14]",8.112,10680
727306,Safety,2020-12-11,"[10751, 18, 36]",7.5,191
662546,Godmothered,2020-12-04,"[10751, 14, 35]",6.737,613
757998,On the Lot with Becky Cline - Disney Studio Tour,2020-10-23,[99],0.0,0
337401,Mulan,2020-09-04,"[12, 14, 28, 10751]",6.866,6750
508570,The One and Only Ivan,2020-08-21,"[10751, 35, 18]",7.369,591
454433,Magic Camp,2020-08-14,"[10751, 14, 35]",6.876,205
719643,Black Is King,2020-07-30,[10402],7.3,128
475430,Artemis Fowl,2020-05-29,"[12, 14, 878, 10751, 28]",5.6,1668
706860,Out,2020-05-22,"[16, 35, 18, 14, 10751, 10749]",7.3,195
382748,Stargirl,2020-03-10,"[35, 18, 10749, 10751]",7.4,559
508439,Onward,2020-02-29,"[10751, 16, 12, 35, 14]",7.671,6230
594530,Lamp Life,2020-01-31,"[16, 35, 10751]",7.1,305
550440,Timmy Failure: Mistakes Were Made,2020-01-25,"[10751, 9648, 35, 14]",6.2,182
606856,Togo,2019-12-20,"[12, 10751]",8.143,2069
330457,Frozen II,2019-11-20,"[10751, 16, 12, 35, 14]",7.2,9851
512895,Lady and the Tramp,2019-11-12,"[10751, 10749, 35]",7.199,1574
454467,Noelle,2019-11-12,"[10751, 35, 14]",6.596,680
420809,Maleficent: Mistress of Evil,2019-10-16,"[10751, 14, 12, 28]",7.303,6180
420818,The Lion King,2019-07-12,"[12, 18, 10751, 16]",7.11,10277
301528,Toy Story 4,2019-06-19,"[10751, 12, 16, 35, 14]",7.478,9933
420817,Aladdin,2019-05-22,"[12, 14, 10749, 10751]",7.096,10172
329996,Dumbo,2019-03-27,"[10751, 14, 12]",6.604,4349
400650,Mary Poppins Returns,2018-12-13,"[14, 10751, 35]",6.512,3337
404368,Ralph Breaks the Internet,2018-11-20,"[10751, 16, 35, 12]",7.17,7668
426543,The Nutcracker and the Four Realms,2018-10-26,"[14, 12, 10751]",6.081,2161
546728,Auntie Edna,2018-10-23,"[16, 35, 10751, 878]",7.2,245
420814,Christopher Robin,2018-08-01,"[12, 35, 10751, 14]",7.298,2753
514754,Bao,2018-06-15,"[16, 10751, 14]",7.567,1220
260513,Incredibles 2,2018-06-14,"[28, 12, 16, 10751]",7.5,13005
407451,A Wrinkle in Time,2018-03-08,"[12, 878, 10751, 14]",5.1,1801
698135,Alice Comedies Vol. 2,2018-01-17,"[16, 35]",0.0,0
460793,Olaf's Frozen Adventure,2017-10-27,"[16, 10751, 12, 35, 14]",6.5,1442
354912,Coco,2017-10-27,"[10751, 16, 10402, 12]",8.2,19834
471968,The Last Warrior,2017-10-19,"[14, 10751, 12, 28, 35]",6.9,179
166426,Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,"[12, 28, 14]",6.653,12153
